,Mkt-RF,SMB,HML,RF,F_PRC,F_DIV,TM_PRC,TM_DIV,F_RET,F_DY,F_CG,TM_RET,TM_DY,TM_CG
199912,0.0772,0.0702,-0.0839,0.0044,22.6499,0.0,67.0566,0.0,,,,,,
200001,-0.047400000000000005,0.0562,-0.0146,0.0040999999999999995,21.3565,0.508,60.081,0.0,-0.034675649782118234,0.022428355092075462,-0.05710400487419365,-0.10402555453154494,0.0,-0.10402555453154494
200002,0.0245,0.2113,-0.09050000000000001,0.0043,17.8708,0.0,55.9906,0.0,-0.1632149462692858,0.0,-0.1632149462692858,-0.06808142341172752,0.0,-0.06808142341172752
200003,0.052000000000000005,-0.1672,0.07490000000000001,0.0047,19.7209,0.0,71.9191,0.4178,0.10352642299169612,0.0,0.10352642299169612,0.2919472197118802,0.007461966830146489,0.28448525288173365
200004,-0.064,-0.0704,0.0768,0.0046,23.7209,0.508,69.1115,0.0,0.2285899730742511,0.02575947345202298,0.2028304996222281,-0.03903830832143329,0.0,-0.03903830832143329
200005,-0.0442,-0.0621,0.049100000000000005,0.005,21.0391,0.0,63.192,0.0,-0.11305641860131777,0.0,-0.11305641860131777,-0.08565144729893004,0.0,-0.08565144729893004
200006,0.0464,0.126,-0.0819,0.004,19.393,1.771,64.4437,0.0,0.005936565727621357,0.08417660451255043,-0.07824003878492902,0.019807887074313246,0.0,0.019807887074313246
200007,-0.025099999999999997,-0.031000000000000003,0.08380000000000001,0.0048,21.2265,0.508,58.5242,0.0,0.12073944206672516,0.02619501882122415,0.09454442324550105,-0.09185537143273903,0.0,-0.09185537143273903
200008,0.0703,-0.0068000000000000005,-0.0146,0.005,13.0965,5.4,60.336,0.0,-0.12861281888205778,0.2543989824040704,-0.3830118012861282,0.03095813355842547,0.0,0.03095813355842547
200009,-0.0545,-0.0189,0.073,0.0051,13.7715,0.0,54.4036,0.1679,0.051540487916618805,0.0,0.051540487916618805,-0.0955399761336515,0.0027827499337045878,-0.09832272606735615
200010,-0.0276,-0.038,0.056900000000000006,0.005600000000000001,14.2715,0.3,55.5332,0.0,0.05809098500526444,0.021784119376974186,0.03630686562829033,0.02076333183833423,0.0,0.02076333183833423
200011,-0.1072,-0.0347,0.1255,0.0051,12.4255,0.0,49.379,0.0,-0.12934870195844872,0.0,-0.12934870195844872,-0.11082019404608423,0.0,-0.11082019404608423
200012,0.011899999999999999,0.0072,0.0757,0.005,12.8023,0.0,43.6268,0.0,0.030324735423121973,0.0,0.030324735423121973,-0.11649081593389887,0.0,-0.11649081593389887
200101,0.0313,0.0674,-0.05280000000000001,0.0054,15.5616,0.3,47.2029,0.0,0.23896487349929307,0.023433289330823365,0.21553158416846974,0.08197025681461856,0.0,0.08197025681461856
200102,-0.1005,-0.008199999999999999,0.126,0.0038,15.3518,0.0,48.2355,0.0,-0.01348190417437789,0.0,-0.01348190417437789,0.021875774581646468,0.0,0.021875774581646468
200103,-0.0726,0.0017000000000000001,0.0652,0.0042,15.523,0.0,49.281,0.3805,0.011151786761161464,0.0,0.011151786761161464,0.02956328844937839,0.007888380964227592,0.021674907485150996
200104,0.07940000000000001,0.0059,-0.047400000000000005,0.0039000000000000003,16.4393,0.3,47.1635,0.0,0.07835469947819362,0.019326161180184244,0.05902853829800936,-0.04296787808688951,0.0,-0.04296787808688951
200105,0.0072,0.0252,0.0338,0.0032,13.5786,0.0,49.6293,0.0,-0.1740159252522917,0.0,-0.1740159252522917,0.05228195532562263,0.0,0.05228195532562263
200106,-0.0194,0.062400000000000004,-0.012,0.0028000000000000004,13.6901,0.0,49.072,0.0,0.008211450370435802,0.0,0.008211450370435802,-0.01122925368683414,0.0,-0.01122925368683414
200107,-0.0213,-0.044500000000000005,0.055999999999999994,0.003,14.2032,0.0,46.1814,0.0,0.03747963857093817,0.0,0.03747963857093817,-0.05890528203456158,0.0,-0.05890528203456158
200108,-0.0646,0.024,0.0252,0.0031,11.2132,0.3,42.5593,0.0,-0.18939393939393934,0.02112200067590402,-0.21051594006984342,-0.07843200942370732,0.0,-0.07843200942370732
200109,-0.0925,-0.0633,0.0172,0.0028000000000000004,9.7911,0.0,36.2438,0.1776,-0.1268237434452253,0.0,-0.1268237434452253,-0.14421994722657572,0.0041730009657113725,-0.148392948192287
200110,0.0246,0.0768,-0.07940000000000001,0.0022,9.1421,0.15,34.3914,0.0,-0.050964651571325015,0.015320035542482457,-0.06628468711380753,-0.051109431130289984,0.0,-0.051109431130289984
200111,0.07540000000000001,-0.0034000000000000002,0.0191,0.0017000000000000001,10.7882,0.0,36.2788,0.0,0.18005709847846774,0.0,0.18005709847846774,0.05487999906953478,0.0,0.05487999906953478
200112,0.0161,0.0461,0.012,0.0015,8.9541,0.0,35.6217,0.0,-0.1700098255501381,0.0,-0.1700098255501381,-0.01811250647761231,0.0,-0.01811250647761231
200201,-0.0144,0.010900000000000002,0.0348,0.0014000000000000002,8.7728,0.1,36.6003,0.0,-0.009079639494756653,0.0111680682592332,-0.020247707753989763,0.027472018460657388,0.0,0.027472018460657388
200202,-0.0229,-0.0113,0.0246,0.0013000000000000002,8.5319,0.0,35.9642,0.0,-0.02745987598030275,0.0,-0.02745987598030275,-0.017379638964707955,0.0,-0.017379638964707955
200203,0.0424,0.0421,0.0097,0.0013000000000000002,9.4551,0.0,40.9535,0.4223,0.10820567517200153,0.0,0.10820567517200153,0.1504718581255804,0.011742232553483743,0.13872962557209667
200204,-0.052000000000000005,0.0582,0.0415,0.0015,9.1741,0.0,38.6153,0.0,-0.029719410688411663,0.0,-0.029719410688411663,-0.05709402126802354,0.0,-0.05709402126802354
200205,-0.0138,-0.032799999999999996,0.016399999999999998,0.0014000000000000002,10.1822,0.1,38.9956,0.0,0.1207856901494424,0.010900251795816485,0.10988543835362607,0.00984842795472285,0.0,0.00984842795472285
200206,-0.0721,0.0421,0.0004,0.0013000000000000002,9.2303,0.0,37.3265,0.0,-0.09348667282119782,0.0,-0.09348667282119782,-0.042802264870908546,0.0,-0.042802264870908546
200207,-0.0818,-0.0524,-0.0351,0.0015,7.8284,0.1,33.784,0.0,-0.14104633652210652,0.010833884055772836,-0.1518802205778793,-0.09490576400144679,0.0,-0.09490576400144679
200208,0.005,-0.0292,0.032100000000000004,0.0014000000000000002,6.8404,0.0,35.2419,0.0,-0.12620714322211446,0.0,-0.12620714322211446,0.0431535638171916,0.0,0.0431535638171916
200209,-0.1035,0.0236,0.0168,0.0014000000000000002,5.6955,0.0,36.1416,0.2176,-0.1673732530261388,0.0,-0.1673732530261388,0.03170373901520618,0.006174468459419043,0.025529270555787242
200210,0.0784,-0.0344,-0.041299999999999996,0.0014000000000000002,4.9751,0.1,34.3735,0.0,-0.10892810113247298,0.017557721007813186,-0.12648582214028614,-0.04892146446200496,0.0,-0.04892146446200496
