PERMNO,date,TICKER,RET
10107,20100129,MSFT,-0.075459
10107,20100226,MSFT,0.022001
10107,20100331,MSFT,0.021538
10107,20100430,MSFT,0.042595
10107,20100528,MSFT,-0.150811
10107,20100630,MSFT,-0.108140
10107,20100730,MSFT,0.121686
10107,20100831,MSFT,-0.085819
10107,20100930,MSFT,0.043682
10107,20101029,MSFT,0.088812
10107,20101130,MSFT,-0.046784
10107,20101231,MSFT,0.105018
10107,20110131,MSFT,-0.006628
10107,20110228,MSFT,-0.035528
10107,20110331,MSFT,-0.044771
10107,20110429,MSFT,0.020874
10107,20110531,MSFT,-0.028935
10107,20110630,MSFT,0.039584
10107,20110729,MSFT,0.053846
10107,20110831,MSFT,-0.023358
10107,20110930,MSFT,-0.064286
10107,20111031,MSFT,0.069908
10107,20111130,MSFT,-0.031919
10107,20111230,MSFT,0.014855
10107,20120131,MSFT,0.137519
10107,20120229,MSFT,0.081612
10107,20120330,MSFT,0.016226
10107,20120430,MSFT,-0.007441
10107,20120531,MSFT,-0.081993
10107,20120629,MSFT,0.047962
10107,20120731,MSFT,-0.036613
10107,20120831,MSFT,0.052596
10107,20120928,MSFT,-0.034393
10107,20121031,MSFT,-0.040995
10107,20121130,MSFT,-0.059390
10107,20121231,MSFT,0.003558
10107,20130131,MSFT,0.027717
10107,20130228,MSFT,0.021129
10107,20130328,MSFT,0.028957
10107,20130430,MSFT,0.157140
10107,20130531,MSFT,0.061329
10107,20130628,MSFT,-0.010172
10107,20130731,MSFT,-0.078304
10107,20130830,MSFT,0.056219
10107,20130930,MSFT,-0.003593
10107,20131031,MSFT,0.063852
10107,20131129,MSFT,0.084875
10107,20131231,MSFT,-0.018883
10107,20140131,MSFT,0.011494
10107,20140228,MSFT,0.019820
10107,20140331,MSFT,0.069956
10107,20140430,MSFT,-0.014394
10107,20140530,MSFT,0.020297
10107,20140630,MSFT,0.018564
10107,20140731,MSFT,0.035012
10107,20140829,MSFT,0.059082
10107,20140930,MSFT,0.020471
10107,20141031,MSFT,0.012726
10107,20141128,MSFT,0.024920
10107,20141231,MSFT,-0.028446
10107,20150130,MSFT,-0.130248
10107,20150227,MSFT,0.093069
10107,20150331,MSFT,-0.072862
10107,20150430,MSFT,0.196409
10107,20150529,MSFT,-0.030222
10107,20150630,MSFT,-0.057832
10107,20150731,MSFT,0.057758
10107,20150831,MSFT,-0.061456
10107,20150930,MSFT,0.017004
10107,20151030,MSFT,0.189336
10107,20151130,MSFT,0.039324
10107,20151231,MSFT,0.020791
10107,20160129,MSFT,-0.007030
10107,20160229,MSFT,-0.069886
10107,20160331,MSFT,0.085495
10107,20160429,MSFT,-0.097049
10107,20160531,MSFT,0.069982
10107,20160630,MSFT,-0.034528
10107,20160729,MSFT,0.107680
10107,20160831,MSFT,0.020113
10107,20160930,MSFT,0.002436
10107,20161031,MSFT,0.040278
10107,20161130,MSFT,0.012183
10107,20161230,MSFT,0.031198
10107,20170131,MSFT,0.040393
10107,20170228,MSFT,-0.004331
10107,20170331,MSFT,0.029384
10107,20170428,MSFT,0.039478
10107,20170531,MSFT,0.025854
10107,20170630,MSFT,-0.013030
10107,20170731,MSFT,0.054693
10107,20170831,MSFT,0.033838
10107,20170929,MSFT,-0.003745
10107,20171031,MSFT,0.116660
10107,20171130,MSFT,0.016951
10107,20171229,MSFT,0.016277
10107,20180131,MSFT,0.110708
10107,20180228,MSFT,-0.008631
10107,20180329,MSFT,-0.026661
10107,20180430,MSFT,0.024652
10107,20180531,MSFT,0.061377
10107,20180629,MSFT,-0.002327
10107,20180731,MSFT,0.075753
10107,20180831,MSFT,0.062877
10107,20180928,MSFT,0.018161
10107,20181031,MSFT,-0.066101
10107,20181130,MSFT,0.042505
10107,20181231,MSFT,-0.084047
10107,20190131,MSFT,0.028158
10107,20190228,MSFT,0.077181
10107,20190329,MSFT,0.052754
10107,20190430,MSFT,0.107343
10107,20190531,MSFT,-0.049464
10107,20190628,MSFT,0.083118
10107,20190731,MSFT,0.017244
10107,20190830,MSFT,0.015044
10107,20190930,MSFT,0.008487
10107,20191031,MSFT,0.031216
10107,20191129,MSFT,0.059427
10107,20191231,MSFT,0.041749
11308,20100129,KO,-0.048246
11308,20100226,KO,-0.028203
11308,20100331,KO,0.051593
11308,20100430,KO,-0.028182
11308,20100528,KO,-0.038354
11308,20100630,KO,-0.016342
11308,20100730,KO,0.099561
11308,20100831,KO,0.014017
11308,20100930,KO,0.055071
11308,20101029,KO,0.047847
11308,20101130,KO,0.037345
11308,20101231,KO,0.041159
11308,20110131,KO,-0.044397
11308,20110228,KO,0.017025
11308,20110331,KO,0.045213
11308,20110429,KO,0.016883
11308,20110531,KO,-0.009635
11308,20110630,KO,0.014219
11308,20110729,KO,0.010700
11308,20110831,KO,0.035877
11308,20110930,KO,-0.034351
11308,20111031,KO,0.011249
11308,20111130,KO,-0.009075
11308,20111230,KO,0.040756
11308,20120131,KO,-0.034872
11308,20120229,KO,0.034503
11308,20120330,KO,0.066705
11308,20120430,KO,0.031212
11308,20120531,KO,-0.020833
11308,20120629,KO,0.053125
11308,20120731,KO,0.033380
11308,20120831,KO,-0.074257
11308,20120928,KO,0.020989
11308,20121031,KO,-0.019773
11308,20121130,KO,0.026762
11308,20121231,KO,-0.044040
11308,20130131,KO,0.027310
11308,20130228,KO,0.039742
11308,20130328,KO,0.051653
11308,20130430,KO,0.046736
11308,20130531,KO,-0.055280
11308,20130628,KO,0.010002
11308,20130731,KO,-0.000748
11308,20130830,KO,-0.047405
11308,20130930,KO,-0.000524
11308,20131031,KO,0.044615
11308,20131129,KO,0.022744
11308,20131231,KO,0.027868
11308,20140131,KO,-0.084483
11308,20140228,KO,0.010048
11308,20140331,KO,0.020026
11308,20140430,KO,0.055096
11308,20140530,KO,0.002942
11308,20140630,KO,0.042899
11308,20140731,KO,-0.072474
11308,20140829,KO,0.061848
11308,20140930,KO,0.029842
11308,20141031,KO,-0.018284
11308,20141128,KO,0.077722
11308,20141231,KO,-0.058220
11308,20150130,KO,-0.024870
11308,20150227,KO,0.051737
11308,20150331,KO,-0.055889
11308,20150430,KO,0.000247
11308,20150529,KO,0.009862
11308,20150630,KO,-0.034180
11308,20150731,KO,0.047158
11308,20150831,KO,-0.042843
11308,20150930,KO,0.028739
11308,20151030,KO,0.055583
11308,20151130,KO,0.014168
11308,20151231,KO,0.007977
11308,20160129,KO,-0.000931
11308,20160229,KO,0.004893
11308,20160331,KO,0.083700
11308,20160429,KO,-0.034275
11308,20160531,KO,-0.004464
11308,20160630,KO,0.024215
11308,20160729,KO,-0.037503
11308,20160831,KO,-0.004584
11308,20160930,KO,-0.017499
11308,20161031,KO,0.001890
11308,20161130,KO,-0.040094
11308,20161230,KO,0.027509
11308,20170131,KO,0.002653
11308,20170228,KO,0.009382
11308,20170331,KO,0.020257
11308,20170428,KO,0.016730
11308,20170531,KO,0.053766
11308,20170630,KO,-0.005498
11308,20170731,KO,0.022074
11308,20170831,KO,-0.006326
11308,20170929,KO,-0.003732
11308,20171031,KO,0.021551
11308,20171130,KO,0.003480
11308,20171229,KO,0.002403
