,Mkt-RF,SMB,HML,RF,F_PRC,F_DIV,TSLA_PRC,TSLA_DIV,F_RET,F_DY,F_CG,TSLA_RET,TSLA_DY,TSLA_CG
201007,0.0693,0.0018,-0.0034999999999999996,0.0001,8.6193,0.0,3.988,0.0,,,,,,
201008,-0.0477,-0.0301,-0.0194,0.0001,7.617,0.0,3.896,0.0,-0.1162855452298911,0.0,-0.1162855452298911,-0.02306920762286868,0.0,-0.02306920762286868
201009,0.0954,0.0395,-0.032799999999999996,0.0001,8.2616,0.0,4.081,0.0,0.08462649337009309,0.0,0.08462649337009309,0.047484599589322496,0.0,0.047484599589322496
201010,0.0388,0.010900000000000002,-0.0259,0.0001,9.5372,0.0,4.368,0.0,0.15440108453568335,0.0,0.15440108453568335,0.07032590051457976,0.0,0.07032590051457976
201011,0.006,0.0374,-0.0097,0.0001,10.7589,0.0,7.066,0.0,0.12809839365851605,0.0,0.12809839365851605,0.6176739926739925,0.0,0.6176739926739925
201012,0.06820000000000001,0.006500000000000001,0.0373,0.0001,11.3326,0.0,5.326,0.0,0.05332329513240186,0.0,0.05332329513240186,-0.24624964619303713,0.0,-0.24624964619303713
201101,0.0199,-0.024700000000000003,0.0068000000000000005,0.0001,10.7657,0.0,4.82,0.0,-0.05002382507103387,0.0,-0.05002382507103387,-0.09500563274502427,0.0,-0.09500563274502427
201102,0.0349,0.015300000000000001,0.013600000000000001,0.0001,10.1582,0.0,4.778,0.0,-0.05642921500692011,0.0,-0.05642921500692011,-0.008713692946058282,0.0,-0.008713692946058282
201103,0.0046,0.026099999999999998,-0.0174,0.0001,10.0637,0.0,5.55,0.0,-0.009302829241401023,0.0,-0.009302829241401023,0.16157388028463804,0.0,0.16157388028463804
201104,0.028999999999999998,-0.0034000000000000002,-0.025099999999999997,0.0,10.4417,0.0,5.52,0.0,0.03756073809831384,0.0,0.03756073809831384,-0.005405405405405461,0.0,-0.005405405405405461
